,origin,destination,flow,cost,O,D,log_O,log_D,log_cost,log_flow,spline_0,spline_1,spline_2,spline_3,spline_4,spline_5,spline_6,spline_7,spline_8
60431,8743accb6ffffff,8743acd9bffffff,39,4.585282657848064,397,4836,5.983936280687191,8.483843211734683,8.430825096461378,3.6888794541139363,0.31636873148838673,0.5545210103678181,0.12853963868616627,0.0,0.0,0.0,0.0,0.0,0.0
60602,8743accd0ffffff,8743ac521ffffff,8,4.588374756287299,91,325,4.51085950651685,5.783825182329737,8.431499075102193,2.1972245773362196,0.3158504327037867,0.5547917590846503,0.1287998573024403,0.0,0.0,0.0,0.0,0.0,0.0
60604,8743accd0ffffff,8743ac523ffffff,1,6.88165973422295,91,40,4.51085950651685,3.6888794541139363,8.8367604454976,0.6931471805599453,0.06064576845825168,0.5314748204384475,0.3989963630565107,0.008883048046790212,0.0,0.0,0.0,0.0,0.0
60609,8743accd0ffffff,8743ac529ffffff,1,7.322019757424832,91,22,4.51085950651685,3.091042453358316,8.898778057053446,0.6931471805599453,0.03841068934622693,0.4882713127087798,0.4566249181742024,0.016693079770791035,0.0,0.0,0.0,0.0,0.0
60611,8743accd0ffffff,8743ac52cffffff,3,4.159974533410437,91,255,4.51085950651685,5.541263545158426,8.333504588659101,1.3862943611198906,0.3888744927936489,0.5103968121128528,0.09598663181900909,0.0,0.0,0.0,0.0,0.0,0.0
60623,8743accd0ffffff,8743acc80ffffff,5,12.345866012644587,91,1866,4.51085950651685,7.531552381407289,9.421157545694218,1.791759469228055,0.0,0.024929138284771283,0.49818119500459707,0.4596769926075747,0.017212674103056953,0.0,0.0,0.0,0.0
60625,8743accd0ffffff,8743acc82ffffff,1,12.77643326339003,91,1086,4.51085950651685,6.990256500493881,9.455435867650124,0.6931471805599453,0.0,0.014658490247231003,0.4439328502291368,0.5128721761220273,0.028536483401604907,0.0,0.0,0.0,0.0
60626,8743accd0ffffff,8743acc83ffffff,4,10.549828595288252,91,1860,4.51085950651685,7.528331766707247,9.26395967565787,1.6094379124341003,0.0,0.11750841082351404,0.655239085293582,0.22703087788464352,0.00022162599826046965,0.0,0.0,0.0,0.0
60629,8743accd0ffffff,8743acc86ffffff,2,14.497002662017676,91,1201,4.51085950651685,7.0909098220799835,9.581766171473559,1.0986122886681098,0.0,0.00016968200862320322,0.2215174808793755,0.6570554598118442,0.12125737730015719,0.0,0.0,0.0,0.0
60630,8743accd0ffffff,8743acc88ffffff,6,6.174772554286649,91,1389,4.51085950651685,7.236339342754344,8.728389263676508,1.9459101490553132,0.11194424847490202,0.5806334650253374,0.3052605631589233,0.0021617233408372967,0.0,0.0,0.0,0.0,0.0
60631,8743accd0ffffff,8743acc89ffffff,1,4.112508282553826,91,757,4.51085950651685,6.6293632534374485,8.322031540112203,0.6931471805599453,0.3969666491640079,0.5047028559389531,0.09273829209190475,0.0,0.0,0.0,0.0,0.0,0.0
60632,8743accd0ffffff,8743acc8affffff,4,6.795602640262966,91,874,4.51085950651685,6.773080375655535,8.82417815459064,1.6094379124341003,0.06580654521833988,0.5389210459127038,0.3875532595397594,0.007719149329196839,0.0,0.0,0.0,0.0,0.0
