,origin,destination,flow,origin_centroid,destination_centroid
30,872a100d5ffffff,872a100e1ffffff,66907.96528917187,POINT (-73.92770161232309 40.74354854892256),POINT (-73.80799129646518 40.74666307258002)
31,872a100d5ffffff,872a10393ffffff,0.0049643062743880435,POINT (-73.92770161232309 40.74354854892256),POINT (-73.86244001334587 40.597370482353156)
32,872a100d5ffffff,872a100cdffffff,37910.74517369427,POINT (-73.92770161232309 40.74354854892256),POINT (-73.83525860158329 40.6719857857294)
33,872a100d5ffffff,872a1076dffffff,374.0501414488643,POINT (-73.92770161232309 40.74354854892256),POINT (-73.87667743757387 40.578531286331426)
34,872a100d5ffffff,872a10006ffffff,574.0704497218396,POINT (-73.92770161232309 40.74354854892256),POINT (-73.79757951133847 40.87655276546836)
35,872a100d5ffffff,872a1060bffffff,734.9758475251936,POINT (-73.92770161232309 40.74354854892256),POINT (-74.18738478049647 40.51458734760199)
36,872a100d5ffffff,872a100e4ffffff,69378.64130288959,POINT (-73.92770161232309 40.74354854892256),POINT (-73.80930118437169 40.78364416550742)
37,872a100d5ffffff,872a10015ffffff,121968.55935928847,POINT (-73.92770161232309 40.74354854892256),POINT (-73.82759034822152 40.87578878651491)
38,872a100d5ffffff,872a100c8ffffff,88785.97289765533,POINT (-73.92770161232309 40.74354854892256),POINT (-73.86513924942524 40.67121153904706)
39,872a100d5ffffff,872a103b0ffffff,649.5335537403638,POINT (-73.92770161232309 40.74354854892256),POINT (-73.78979092488017 40.654665673295014)
40,872a100d5ffffff,872a103b4ffffff,31129.24278600458,POINT (-73.92770161232309 40.74354854892256),POINT (-73.77549657107924 40.673511135981755)
41,872a100d5ffffff,872a10624ffffff,6931.37052503911,POINT (-73.92770161232309 40.74354854892256),POINT (-74.1183369367404 40.64585367780246)
42,872a100d5ffffff,872a10046ffffff,1343.4120008416758,POINT (-73.92770161232309 40.74354854892256),POINT (-73.68827720029607 40.749653726489335)
43,872a100d5ffffff,872a1070bffffff,16422.53174622837,POINT (-73.92770161232309 40.74354854892256),POINT (-74.08847081276465 40.646693296459965)
44,872a100d5ffffff,872a10000ffffff,2535.5750246260177,POINT (-73.92770161232309 40.74354854892256),POINT (-73.7819280610591 40.85841765631943)
45,872a100d5ffffff,872a106e0ffffff,505.2439543420706,POINT (-73.92770161232309 40.74354854892256),POINT (-74.23124149707948 40.494856688508094)
46,872a100d5ffffff,872a100d1ffffff,142268.56219375308,POINT (-73.92770161232309 40.74354854892256),POINT (-73.94195789532255 40.724667005443095)
47,872a100d5ffffff,872a100c9ffffff,12418.361960822513,POINT (-73.92770161232309 40.74354854892256),POINT (-73.84952922544836 40.65313285127338)
