hh_id,vehicle_id,vehicle_num,year,fuel_type,hh_weight
22044715,2204471501,1,2019,1,1456.848809
22044715,2204471502,2,2020,1,1456.848809
22044771,2204477101,1,2008,1,1286.914722
22044940,2204494001,1,2010,1,574.6727049
22045365,2204536501,1,2018,1,169.704243
22045507,2204550701,1,2017,1,393.0511863
22045526,2204552601,1,2016,1,406.9821198
22045598,2204559801,1,1998,1,374.8578521
22045613,2204561301,1,2021,1,2574.994985
22045674,2204567401,1,2008,1,606.0717758
22045760,2204576001,1,2013,1,649.7312581
22045977,2204597701,1,2018,1,1261.242773
22045984,2204598401,1,2001,1,2031.730512
22046112,2204611201,1,2014,1,1095.995194
22046139,2204613901,1,2018,1,358.8964834
22046202,2204620201,1,2015,1,268.0148032
22046265,2204626501,1,2017,1,294.2205489
22046316,2204631601,1,2016,1,297.2499982
22046520,2204652001,1,2009,1,2278.025882
22046570,2204657001,1,2022,1,365.3837809
22046937,2204693701,1,2020,1,2045.726544
22047045,2204704501,1,2018,1,1708.520737
22047139,2204713901,1,2022,1,492.4388446
22047180,2204718001,1,2014,1,442.9558672
22047334,2204733401,1,2014,2,4271.266414
22047350,2204735001,1,2020,1,3293.820199
22047350,2204735002,2,2021,1,3293.820199
22047553,2204755301,1,2006,2,573.1437822
22047616,2204761601,1,2015,1,188.9820995
22047703,2204770301,1,2009,1,1708.520737
22047728,2204772801,1,2014,1,416.202649
22047728,2204772802,2,2016,1,416.202649
22047800,2204780001,1,2020,1,3424.864852
22048120,2204812001,1,2013,1,577.260408
22048410,2204841001,1,2015,1,2885.169925
22048424,2204842401,1,2020,1,1702.698889
22048573,2204857301,1,2005,1,344.2945872
22048699,2204869901,1,2008,1,393.1397429
22048781,2204878101,1,2009,1,2251.731366
22048858,2204885801,1,2001,1,883.6731482
22048925,2204892501,1,2021,2,961.095715
22048950,2204895001,1,2010,1,183.8145303
22048950,2204895002,2,1993,1,183.8145303
22048953,2204895301,1,2006,1,188.9820995
22049041,2204904101,1,2021,1,223.6830775
22049278,2204927801,1,2007,1,407.9920883
22049288,2204928801,1,2004,1,1075.605384
22049567,2204956701,1,2017,1,949.6473497
22049600,2204960001,1,2021,1,222.5741747
22049656,2204965601,1,2006,1,980.3558805
22049679,2204967901,1,2005,1,595.731856
22049913,2204991301,1,2014,1,454.4694065
22049957,2204995701,1,2022,1,418.6639115
22049972,2204997201,1,2021,1,571.5229341
22050338,2205033801,1,2009,1,947.5813586
22050341,2205034101,1,2006,1,860.5216226
22050343,2205034301,1,2008,1,520.5901798
22050400,2205040001,1,2021,1,217.9813531
22050417,2205041701,1,2012,1,224.2121549
22050419,2205041901,1,2017,1,195.2166555
22050441,2205044101,1,2003,1,1030.135405
22050458,2205045801,1,2022,1,217.9384407
22050465,2205046501,1,2011,1,1083.29549
22050642,2205064201,1,2022,1,442.7703344
22050664,2205066401,1,2008,1,855.6871414
22050713,2205071301,1,2019,1,247.6620982
22050819,2205081901,1,1991,1,1264.547082
22050823,2205082301,1,2011,1,784.6068668
22050986,2205098601,1,2022,1,1335.924587
22051063,2205106301,1,2011,1,939.1858029
22051311,2205131101,1,2015,1,426.4003297
22051324,2205132401,1,2019,1,877.7154719
22051324,2205132402,2,1983,1,877.7154719
22051391,2205139101,1,2009,1,436.564151
22051391,2205139102,2,2011,1,436.564151
22051391,2205139103,3,2011,1,436.564151
22051424,2205142401,1,2011,1,650.7388269
22051424,2205142402,2,2020,1,650.7388269
22051681,2205168101,1,2003,1,1947.951582
22051780,2205178001,1,2018,1,322.2121173
22051868,2205186801,1,2021,1,1007.630523
22051924,2205192401,1,2007,1,492.4388446
22052059,2205205901,1,2005,1,319.452182
22052068,2205206801,1,2004,1,1758.968561
22052099,2205209901,1,2016,1,1947.951582
22052214,2205221401,1,2010,1,208.3698676
22052411,2205241101,1,2010,1,1036.623749
22052459,2205245901,1,2017,1,824.9996713
22052584,2205258401,1,2009,1,1625.914467
22052689,2205268901,1,2018,1,414.9197056
22052727,2205272701,1,2022,1,5204.477569
22052947,2205294701,1,2014,2,1653.956396
22052951,2205295101,1,2013,1,223.6830775
22052970,2205297001,1,2007,2,253.5995595
22053243,2205324301,1,2007,1,592.9749046
22053420,2205342001,1,2005,1,1447.204666
22053420,2205342002,2,2019,1,1447.204666
22053705,2205370501,1,2014,1,481.6542761
22053750,2205375001,1,2014,2,640.8576757
22053765,2205376501,1,2015,1,520.5901798
22053871,2205387101,1,2015,1,473.5614648
22053902,2205390201,1,2016,1,381.0054653
22053987,2205398701,1,2018,4,381.0054653
